fullback,team,season_id,Cluster_Label,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation
Luis Carlos Correia Pinto,Huesca,4,Complete Fullback,6.3,6.9,8.5,5.4,5.6
Yuri Berchiche Izeta,Athletic Club,90,Attacking Wing-Back,6.6,6.8,5.6,7.2,6.5
Leart Paqarada,FC Köln,281,Attacking Wing-Back,6.7,6.6,5.4,6.9,7.1
Javier Galán Gil,Huesca,90,Complete Fullback,6.2,6.3,7.5,6.7,6.0
Rubén Peña Jiménez,Eibar,4,Complete Fullback,6.0,6.1,7.4,6.2,6.9
Daniel Alves da Silva,Brazil,106,Attacking Wing-Back,6.4,6.8,5.9,6.8,6.7
Mario Gaspar Pérez Martínez,Villarreal,90,Complete Fullback,6.1,6.2,8.1,5.8,6.4
Martín Aguirregabiria Padilla,Deportivo Alavés,42,Attacking Wing-Back,6.5,6.7,6.3,6.9,6.2
Thibault De Smet,Stade de Reims,235,Attacking Wing-Back,6.5,6.6,6.3,6.9,6.3
Jean-Kevin Duverne,Stade Brestois,235,Attacking Wing-Back,6.5,6.8,6.5,6.6,6.1
Thomas Teye Partey,Atlético Madrid,4,Complete Fullback,6.1,6.5,6.8,6.6,6.5
Manuel Sánchez De La Peña,Osasuna,90,Attacking Wing-Back,6.2,6.4,6.5,7.0,6.4
Lukas Kübler,Freiburg,281,Attacking Wing-Back,6.5,6.8,5.4,7.3,6.5
Antonio Manuel Luna Rodríguez,Levante UD,4,Complete Fullback,6.2,6.8,8.0,5.4,6.1
Jorge Andújar Moreno,Levante UD,4,Attacking Wing-Back,6.3,6.7,6.4,6.5,6.5
Nordi Mukiele Mulere,Paris Saint-Germain,235,Complete Fullback,6.3,7.0,6.9,5.5,6.7
Milad Mohammadi,Iran,106,Progressive Playmaker,6.9,6.6,6.7,6.1,6.1
Andoni Gorosabel Espinosa,Real Sociedad,90,Complete Fullback,6.0,5.4,8.1,6.2,6.6
Vivaldo Borges dos Santos Neto,Clermont Foot,235,Defensive Specialist,6.5,5.5,7.6,5.9,6.8
Timothee Pembele,Paris Saint-Germain,235,Progressive Playmaker,7.0,6.7,6.8,5.5,6.3
Dídac Vilá Rosselló,Espanyol,4,Complete Fullback,6.3,6.4,6.6,6.4,6.6
Bukayo Saka,England,282,Defensive Specialist,6.3,6.7,6.1,6.1,7.1
Diogo José Rosário Gomes Figueiras,Genoa,27,Attacking Wing-Back,6.6,6.3,5.8,7.0,6.5
