,fullback,team,minutes_played,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation,matches_played,full_match_equivalent,overlap_inversion_ci,final_third_entries_ci,defensive_performance_ci,ball_progression_ci,chance_creation_ci,composite_score,competition_id,season_id
468,Pervis Josué Estupiñán Tenorio,Villarreal,128.93,6.7,6.6,6.3,7.5,7.1,2,1.4,0.03,0.04,0.03,0.03,0.0,6.84,11,90
397,Mehmet Zeki Çelik,Lille,178.98,6.9,6.3,6.9,6.5,7.6,2,2.0,0.04,0.04,0.03,0.03,0.0,6.84,7,108
443,Nuno Albertino Varela Tavares,Marseille,90.98,6.4,6.9,7.4,6.7,6.7,1,1.0,0.03,0.04,0.03,0.03,0.0,6.82,7,235
442,Noussair Mazraoui,Morocco,170.98,7.1,6.9,6.4,7.9,5.8,2,1.9,0.03,0.03,0.02,0.02,0.0,6.82,43,106
494,Rubén Duarte Sánchez,Deportivo Alavés,183.97,7.7,7.0,6.3,6.7,6.4,2,2.0,0.03,0.03,0.02,0.02,0.0,6.82,11,4
367,Marcos Aoás Corrêa,Paris Saint-Germain,93.98,6.4,6.5,8.1,7.2,5.9,1,1.0,0.03,0.04,0.03,0.03,0.0,6.82,7,235
393,Max Finkgräfe,FC Köln,90.98,6.4,6.3,7.2,7.7,6.4,1,1.0,0.03,0.04,0.03,0.02,0.0,6.8,9,281
198,Filipe Luís Kasmirski,Atlético Madrid,148.98,7.2,6.5,7.5,6.4,6.4,2,1.7,0.03,0.03,0.02,0.02,0.0,6.8,11,4
270,Jihai Sun,Manchester City,182.97,6.7,6.4,6.8,6.3,7.8,2,2.0,0.03,0.03,0.02,0.02,0.0,6.8,2,44
493,Roberto Vitiello,Palermo,245.97,7.2,7.2,5.8,6.5,7.2,3,2.7,0.03,0.03,0.02,0.02,0.0,6.78,12,27
399,Mert Müldür,Turkey,177.98,6.8,7.4,6.1,6.6,6.9,2,2.0,0.04,0.04,0.03,0.03,0.0,6.76,55,282
129,Danilo Luís Hélio Pereira,Paris Saint-Germain,184.97,7.1,7.8,6.2,6.1,6.6,2,2.1,0.04,0.04,0.03,0.03,0.0,6.76,7,108
42,Alphonso Davies,Bayern Munich,95.98,6.5,6.9,6.6,7.1,6.6,1,1.1,0.03,0.04,0.03,0.02,0.0,6.74,9,281
556,Vitorino Gabriel Pacheco Antunes,Getafe,92.98,6.3,6.0,7.6,6.5,7.2,1,1.0,0.03,0.03,0.02,0.02,0.0,6.72,11,4
299,José Luis Morales Nogales,Levante UD,90.98,6.1,6.9,6.3,7.5,6.8,1,1.0,0.03,0.03,0.02,0.02,0.0,6.72,11,4
82,Bernardo Fernandes da Silva Junior,Bochum,132.98,7.0,6.6,6.4,6.5,7.0,2,1.5,0.03,0.04,0.03,0.02,0.0,6.7,9,281
3,Abdou Diallo,Paris Saint-Germain,176.95,7.2,7.5,5.9,6.2,6.7,3,2.0,0.04,0.04,0.03,0.03,0.0,6.7,7,108
34,Alexander Prass,Austria,168.95,7.1,6.3,6.2,6.4,7.5,3,1.9,0.04,0.04,0.03,0.03,0.0,6.7,55,282
90,Bruno Miguel Borges Fernandes,Portugal,95.98,6.0,6.4,7.0,6.5,7.5,1,1.1,0.03,0.03,0.02,0.02,0.0,6.68,43,106
35,Alfonso Pedraza Sag,Villarreal,89.93,6.3,6.4,7.5,7.2,6.0,1,1.0,0.03,0.03,0.02,0.02,0.0,6.68,11,4
266,Jeremie Frimpong,Bayer Leverkusen,84.0,6.2,6.3,5.4,7.5,8.0,1,0.9,0.03,0.04,0.03,0.02,0.0,6.68,9,281
406,Mihailo Ristić,Montpellier,91.98,6.3,6.0,7.9,6.0,7.1,1,1.0,0.04,0.04,0.03,0.03,0.0,6.66,7,108
584,Žan Karničnik,Slovenia,186.97,6.9,6.4,7.2,6.2,6.6,2,2.1,0.04,0.04,0.03,0.03,0.0,6.66,55,282
383,Matteo Bianchetti,Hellas Verona,200.9,6.8,6.4,8.3,6.0,5.8,3,2.2,0.03,0.03,0.02,0.02,0.0,6.66,12,27
5,Abdoulaye Bamba,Angers,93.98,6.3,7.0,6.8,7.2,6.0,1,1.0,0.03,0.04,0.03,0.03,0.0,6.66,7,235
278,Jonathan Ludovic Biabiany,Inter Milan,196.85,6.7,5.5,6.4,6.4,8.2,5,2.2,0.03,0.03,0.02,0.02,0.0,6.64,12,27
273,Joan Sastre Vanrell,Mallorca,139.98,6.4,6.2,7.7,6.3,6.6,2,1.6,0.03,0.04,0.02,0.03,0.0,6.64,11,42
486,Riccardo Fiamozzi,Genoa,210.95,6.9,6.8,5.7,7.9,5.9,3,2.3,0.03,0.03,0.02,0.02,0.0,6.64,12,27
109,Connor Roberts,Wales,156.97,6.7,6.1,6.1,7.4,6.9,2,1.7,0.03,0.03,0.02,0.02,0.0,6.64,43,106
117,César Azpilicueta Tanco,Spain,143.98,6.5,7.6,5.2,7.5,6.3,2,1.6,0.03,0.03,0.02,0.02,0.0,6.62,43,106
538,Théo Sainte-Luce,Montpellier,83.0,6.3,6.8,7.2,7.1,5.7,1,0.9,0.03,0.04,0.03,0.03,0.0,6.62,7,235
145,Dennis Appiah,Nantes,91.98,6.5,6.2,7.5,5.6,7.3,1,1.0,0.03,0.04,0.03,0.03,0.0,6.62,7,235
318,Kiliann Sildillia,Freiburg,92.98,6.3,6.5,7.2,6.4,6.6,1,1.0,0.03,0.04,0.03,0.02,0.0,6.6,9,281
317,Kieran Trippier,England,156.95,6.9,6.2,6.0,6.8,7.1,2,1.7,0.04,0.04,0.03,0.03,0.0,6.6,55,282
354,Mads Pedersen,Augsburg,89.98,6.3,6.1,6.6,7.8,6.2,1,1.0,0.03,0.04,0.03,0.02,0.0,6.6,9,281
79,Benjamin Henrichs,RB Leipzig,115.82,6.5,6.5,6.2,6.5,7.2,2,1.3,0.03,0.04,0.03,0.02,0.0,6.58,9,281
438,Noah Fadiga,Stade Brestois,78.0,6.3,6.8,7.0,7.1,5.7,1,0.9,0.03,0.04,0.03,0.03,0.0,6.58,7,235
204,Francisco Gámez López,Mallorca,138.97,6.1,6.8,7.4,6.3,6.3,2,1.5,0.03,0.04,0.02,0.03,0.0,6.58,11,42
277,Jonathan Clauss,Marseille,119.97,6.7,7.0,5.5,6.5,7.2,2,1.3,0.03,0.04,0.03,0.03,0.0,6.58,7,235
508,Sergio Reguilón Rodríguez,Real Madrid,93.98,6.3,6.8,6.4,6.5,6.8,1,1.0,0.03,0.03,0.02,0.02,0.0,6.56,11,4
1,Aarón Martín Caricol,Celta Vigo,92.98,6.2,6.5,7.2,7.2,5.7,1,1.0,0.03,0.04,0.03,0.03,0.0,6.56,11,90
563,Wayne Bridge,Chelsea,176.98,7.0,6.4,5.9,6.4,7.1,2,2.0,0.03,0.03,0.02,0.02,0.0,6.56,2,44
344,Lucas Vázquez Iglesias,Real Madrid,93.98,6.1,6.5,6.5,7.2,6.5,2,1.0,0.03,0.04,0.03,0.03,0.0,6.56,11,90
345,Luis Carlos Correia Pinto,Huesca,89.98,6.3,6.9,8.5,5.4,5.6,1,1.0,0.03,0.03,0.02,0.02,0.0,6.54,11,4
570,Yuri Berchiche Izeta,Athletic Club,120.98,6.6,6.8,5.6,7.2,6.5,2,1.3,0.03,0.04,0.03,0.03,0.0,6.54,11,90
325,Leart Paqarada,FC Köln,109.95,6.7,6.6,5.4,6.9,7.1,2,1.2,0.03,0.04,0.03,0.02,0.0,6.54,9,281
260,Javier Galán Gil,Huesca,90.98,6.2,6.3,7.5,6.7,6.0,1,1.0,0.03,0.04,0.03,0.03,0.0,6.54,11,90
495,Rubén Peña Jiménez,Eibar,92.98,6.0,6.1,7.4,6.2,6.9,1,1.0,0.03,0.03,0.02,0.02,0.0,6.52,11,4
