midfielder,minutes_played,pass_control,ball_progression,defensive_contribution,creative_output,matches_played,team,competition_id,season_id,avg_minutes_per_match,full_match_equivalent,composite_score
Adrien Thomasson,68,4.21,4.39,7.75,7.4,1,Strasbourg,7,108,68.0,0.8,5.9375
Naïm Sliti,95,1.36,5.52,8.77,8.09,1,Tunisia,43,106,95.0,1.1,5.935
José Andrés Guardado Hernández,185,6.01,6.59,6.11,5.02,2,Real Betis,11,4,92.5,2.1,5.9325
André Filipe Tavares Gomes,92,6.92,2.17,9.6,5.03,1,Lille,7,235,92.0,1.0,5.93
Nicolò Barella,345,9.4,3.26,5.52,5.51,4,Italy,55,282,86.2,3.8,5.922499999999999
Hassan Khalid Al Heidos,205,6.3,7.24,3.69,6.45,3,Qatar,43,106,68.3,2.3,5.92
Stewart Downing,86,3.6,9.27,8.73,2.07,1,Middlesbrough,2,44,86.0,1.0,5.9175
Gabriel Gudmundsson,91,7.16,5.52,8.9,2.07,1,Lille,7,108,91.0,1.0,5.9125
Bambasé Conté,6,2.81,8.8,9.96,2.07,1,Hoffenheim,9,281,6.0,0.1,5.91
Waldo Rubio Martín,104,3.76,7.85,3.8,8.17,2,Real Valladolid,11,42,52.0,1.2,5.895
Daichi Kamada,90,3.93,3.19,8.5,7.95,1,Japan,43,106,90.0,1.0,5.8925
Birama Touré,183,6.81,0.85,9.45,6.46,2,Auxerre,7,235,91.5,2.0,5.8925
Pablo Sarabia García,181,4.89,7.83,1.8,9.01,2,Sevilla,11,4,90.5,2.0,5.8825
Álvaro Juan Cruz Armada,67,1.49,4.59,9.93,7.52,1,Osasuna,11,90,67.0,0.7,5.882499999999999
Ruslan Malinovskiy,80,5.31,3.11,8.57,6.53,1,Marseille,7,235,80.0,0.9,5.880000000000001
Fabio Quagliarella,199,4.75,9.26,2.05,7.46,3,Torino,12,27,66.3,2.2,5.88
"Augustine Azuka ""Jay-Jay"" Okocha",182,3.91,3.87,9.14,6.55,2,Bolton Wanderers,2,44,91.0,2.0,5.867500000000001
Eliot Matazo,27,6.66,6.42,1.78,8.6,1,AS Monaco,7,108,27.0,0.3,5.865
Karl Brillant Toko Ekambi,86,8.14,7.58,1.49,6.24,1,Lyon,7,235,86.0,1.0,5.862500000000001
Edson Omar Álvarez Velázquez,181,3.69,8.52,6.89,4.33,2,Mexico,43,106,90.5,2.0,5.8575
Romain Faivre,93,8.16,9.33,1.06,4.87,1,Lorient,7,235,93.0,1.0,5.855
Pere Pons Riera,184,6.31,4.54,6.93,5.63,2,Girona,11,4,92.0,2.0,5.8525
Vinícius José Paixão de Oliveira Júnior,157,1.95,4.81,8.84,7.81,2,Brazil,43,106,78.5,1.7,5.8525
Patrick Osterhage,179,6.31,5.96,9.05,2.07,2,Bochum,9,281,89.5,2.0,5.8475
Steed Malbranque,87,3.2,5.52,8.99,5.67,1,Fulham,2,44,87.0,1.0,5.845000000000001
Cengiz Ünder,103,7.24,2.52,4.24,9.36,2,Marseille,7,235,51.5,1.1,5.84
Pablo Fornals Malla,92,6.79,2.75,4.25,9.54,1,Villarreal,11,4,92.0,1.0,5.8325
Serge Gakpé,190,2.32,8.36,4.7,7.9,5,Genoa,12,27,38.0,2.1,5.82
Nicolae Claudiu Stanciu,355,7.9,2.9,3.84,8.64,4,Romania,55,282,88.8,3.9,5.82
Assane Dioussé El Hadji,829,9.33,3.28,6.49,4.17,15,Empoli,12,27,55.3,9.2,5.817500000000001
Édgar Osvaldo Barreto Cáceres,2177,8.7,2.91,6.21,5.41,30,Sampdoria,12,27,72.6,24.2,5.8075
Morgan Sanson,86,5.18,8.46,7.51,2.07,1,Strasbourg,7,235,86.0,1.0,5.805
Kevin Gameiro,11,2.81,7.13,3.55,9.73,1,Strasbourg,7,235,11.0,0.1,5.805
Merlin Röhl,149,3.37,7.66,6.15,6.04,2,Freiburg,9,281,74.5,1.7,5.805
Francisco Javier Hidalgo Gómez,14,1.71,7.13,5.04,9.33,1,Levante UD,11,90,14.0,0.2,5.8025
Maximiliano Gastón López,18,2.81,0.85,9.57,9.95,1,Torino,12,27,18.0,0.2,5.795
Mateus Cardoso Lemos Martins,74,2.81,8.41,9.88,2.07,1,Lyon,7,235,74.0,0.8,5.7925
Moussa Soumano,24,2.81,9.88,0.52,9.95,1,AC Ajaccio,7,235,24.0,0.3,5.79
Carlos Soler Barragán,902,8.0,3.3,5.77,6.07,18,Paris Saint-Germain,7,235,50.1,10.0,5.785
Samuel Moutoussamy,169,6.92,5.87,5.76,4.59,2,Nantes,7,235,84.5,1.9,5.784999999999999
Bradley Barcola,31,2.81,9.83,0.52,9.95,1,France,55,282,31.0,0.3,5.7775
Benjamin Verbič,79,0.74,7.4,6.05,8.91,3,Slovenia,55,282,26.3,0.9,5.775
Jamie Jermaine Bynoe-Gittens,82,2.05,8.41,3.88,8.76,1,Borussia Dortmund,9,281,82.0,0.9,5.775
Thomas Teye Partey,289,9.57,4.97,3.28,5.28,3,Ghana,43,106,96.3,3.2,5.775
Ehsan Hajsafi,242,5.28,7.51,3.71,6.57,3,Iran,43,106,80.7,2.7,5.7675
Stijn Spierings,180,6.59,3.44,8.05,4.97,2,Toulouse,7,235,90.0,2.0,5.762499999999999
Kang-In Lee,143,3.98,6.31,7.61,5.15,3,South Korea,43,106,47.7,1.6,5.762499999999999
Léandre Griffit,56,3.39,6.42,5.13,8.09,1,Southampton,2,44,56.0,0.6,5.7575
Ryad Boudebouz,70,7.23,6.42,3.26,6.11,1,Saint-Étienne,7,108,70.0,0.8,5.755
Éverton Augusto de Barros Ribeiro,43,1.99,9.72,1.61,9.68,1,Brazil,43,106,43.0,0.5,5.75
Santiago Cazorla González,178,6.44,4.84,2.43,9.26,2,Villarreal,11,4,89.0,2.0,5.7425
Mattéo Guendouzi Olié,187,7.74,5.4,7.75,2.07,2,Marseille,7,108,93.5,2.1,5.74
Ludovic Blas,183,5.47,5.79,7.1,4.58,2,Nantes,7,108,91.5,2.0,5.734999999999999
Stephen Clemence,182,5.44,2.26,9.04,6.19,2,Birmingham City,2,44,91.0,2.0,5.7325
Gerson Santos da Silva,109,2.81,8.51,3.14,8.46,2,Marseille,7,108,54.5,1.2,5.73
David Ferreiro Quiroga,96,5.11,6.83,4.29,6.68,2,Huesca,11,90,48.0,1.1,5.7275
Valentin Mihai Mihăilă,112,6.88,6.17,7.78,2.07,3,Romania,55,282,37.3,1.2,5.7250000000000005
András Schäfer,287,9.01,6.29,5.5,2.07,3,Hungary,55,282,95.7,3.2,5.7175
Nabil Bentaleb,92,7.05,3.93,9.82,2.07,1,Angers,7,235,92.0,1.0,5.7175
Tiago Manuel Dias Correia,91,1.92,9.38,4.89,6.68,1,Rayo Vallecano,11,4,91.0,1.0,5.7175
Eren Sami Dinkçi,75,1.05,9.77,9.97,2.07,1,FC Heidenheim,9,281,75.0,0.8,5.715
Julian Draxler,152,4.59,5.11,5.79,7.36,7,Paris Saint-Germain,7,108,21.7,1.7,5.7124999999999995
José Ángel Gómez Campaña,180,4.8,7.48,3.63,6.92,2,Levante UD,11,4,90.0,2.0,5.7075
Aleksandar Pavlović,59,5.07,2.63,9.7,5.43,1,Bayern Munich,9,281,59.0,0.7,5.7075
Stephen Antunes Eustáquio,125,7.57,1.71,8.6,4.94,2,Canada,43,106,62.5,1.4,5.705000000000001
Ciro Immobile,88,3.74,5.86,3.98,9.24,1,Torino,12,27,88.0,1.0,5.705
Jan Mlakar,288,4.15,6.89,5.91,5.87,4,Slovenia,55,282,72.0,3.2,5.705
Ahmad Nourollahi,218,7.89,7.01,5.84,2.07,3,Iran,43,106,72.7,2.4,5.7025
Mohammed Kanoo,294,9.28,6.5,4.95,2.07,3,Saudi Arabia,43,106,98.0,3.3,5.7
Celso Borges Mora,254,8.71,2.57,6.79,4.72,3,Costa Rica,43,106,84.7,2.8,5.6975
Marc Cucurella Saseta,94,1.72,9.08,5.01,6.97,1,Getafe,11,90,94.0,1.0,5.695
Iker Muniain Goñi,179,6.43,5.04,3.06,8.2,2,Athletic Club,11,90,89.5,2.0,5.682499999999999
Mathias Jensen,88,4.52,2.82,6.65,8.63,2,Denmark,43,106,44.0,1.0,5.655
Oswaldo Giroldo Júnior,116,5.52,7.26,2.53,7.31,2,Middlesbrough,2,44,58.0,1.3,5.654999999999999
David Prutton,88,4.5,6.94,9.1,2.07,1,Southampton,2,44,88.0,1.0,5.6525
William Silva de Carvalho,226,9.07,2.13,9.33,2.07,4,Portugal,43,106,56.5,2.5,5.65
João Maria Lobo Alves Palhinha Gonçalves,300,9.92,1.73,6.31,4.63,4,Portugal,55,282,75.0,3.3,5.6475
Riyadh Sharahili,59,5.9,3.19,5.24,8.26,1,Saudi Arabia,43,106,59.0,0.7,5.6475
Barry Ferguson,92,6.4,2.63,8.23,5.32,1,Blackburn Rovers,2,44,92.0,1.0,5.6450000000000005
Farid Boulaya,68,4.6,6.61,2.7,8.67,1,Metz,7,108,68.0,0.8,5.645
Hernâni Jorge Santos Fortes,32,1.84,8.8,9.86,2.07,1,Levante UD,11,42,32.0,0.4,5.6425
Cole Palmer,131,4.94,4.28,4.49,8.81,4,England,55,282,32.8,1.5,5.630000000000001
Harry Kewell,92,1.97,9.48,4.94,6.11,1,Liverpool,2,44,92.0,1.0,5.625
Davide Biondini,1101,7.16,4.48,5.49,5.36,21,Sassuolo,12,27,52.4,12.2,5.6225000000000005
Téji Savanier,178,6.35,4.19,7.55,4.38,2,Montpellier,7,235,89.0,2.0,5.6175
Damien Duff,70,4.15,8.18,1.13,8.99,1,Chelsea,2,44,70.0,0.8,5.612500000000001
İlkay Gündoğan,382,9.97,4.26,3.77,4.45,5,Germany,55,282,76.4,4.2,5.6125
Giacomo Raspadori,10,8.43,4.39,0.52,9.06,1,Italy,55,282,10.0,0.1,5.6
Fermin Lopez Marin,32,7.44,7.94,4.94,2.07,1,Spain,55,282,32.0,0.4,5.5975
Marco Richter,9,5.9,9.23,5.18,2.07,1,FSV Mainz 05,9,281,9.0,0.1,5.595000000000001
Jeff Reine-Adélaïde,18,5.9,9.61,4.8,2.07,1,Lyon,7,235,18.0,0.2,5.595
Adrian Beck,76,6.44,5.17,8.68,2.07,2,FC Heidenheim,9,281,38.0,0.8,5.59
Fernando Francisco Reges,185,7.83,6.0,6.44,2.07,2,Sevilla,11,42,92.5,2.1,5.585
Arnaud Souquet,17,2.81,0.85,8.86,9.82,1,Montpellier,7,235,17.0,0.2,5.585
Jamie Redknapp,89,5.61,6.53,3.24,6.89,1,Tottenham Hotspur,2,44,89.0,1.0,5.5675
Abdulaziz Hatem Mohammed Abdullah,201,5.19,7.33,1.88,7.86,3,Qatar,43,106,67.0,2.2,5.5649999999999995
Cyrille Bayala,55,4.07,6.14,9.95,2.07,1,AC Ajaccio,7,235,55.0,0.6,5.5575
Daniel Parejo Muñoz,186,6.59,2.29,7.86,5.49,2,Villarreal,11,90,93.0,2.1,5.557499999999999
Iván Campo Ramos,167,4.88,7.55,4.69,5.1,2,Bolton Wanderers,2,44,83.5,1.9,5.555
Youssef Msakni,95,3.44,8.18,2.86,7.74,1,Tunisia,43,106,95.0,1.1,5.555
Ibai Gómez Pérez,88,3.75,6.91,5.02,6.53,1,Deportivo Alavés,11,4,88.0,1.0,5.5525
Bruno Soriano Llido,49,8.08,2.27,9.77,2.07,1,Villarreal,11,42,49.0,0.5,5.547499999999999
Hamza Sakhi,83,7.67,4.39,1.65,8.46,1,Auxerre,7,235,83.0,0.9,5.5425
Asier Illarramendi Andonegi,78,7.31,4.59,8.2,2.07,1,Real Sociedad,11,4,78.0,0.9,5.5424999999999995
Senne Lynen,94,5.7,1.91,6.07,8.46,2,Werder Bremen,9,281,47.0,1.0,5.535
Alex Rae,176,4.54,5.17,7.69,4.69,2,Wolverhampton Wanderers,2,44,88.0,2.0,5.522500000000001
İsmail Yüksek,152,7.87,2.36,5.7,6.13,3,Turkey,55,282,50.7,1.7,5.515
Scott Parker,151,4.14,7.44,5.93,4.54,2,Charlton Athletic,2,44,75.5,1.7,5.512499999999999
Edgar Antonio Méndez Ortega,146,3.48,8.6,1.34,8.6,2,Deportivo Alavés,11,90,73.0,1.6,5.505
Gary Speed,100,4.5,2.63,6.17,8.68,2,Newcastle United,2,44,50.0,1.1,5.495
Martin Ødegaard,183,4.69,6.22,3.36,7.7,2,Real Sociedad,11,42,91.5,2.0,5.4925
Marco Asensio Willemsen,28,8.43,0.85,2.75,9.93,1,Real Madrid,11,90,28.0,0.3,5.49
Mohamed Achi,5,2.81,8.8,0.52,9.82,1,Nantes,7,235,5.0,0.1,5.487500000000001
Alejandro Granell Nogué,156,3.92,2.47,8.72,6.83,2,Girona,11,4,78.0,1.7,5.485
Shaun Wright-Phillips,170,3.82,8.3,4.33,5.47,2,Manchester City,2,44,85.0,1.9,5.48
Ángel Martín Correa,154,2.44,4.88,7.08,7.52,2,Atlético Madrid,11,42,77.0,1.7,5.48
Junya Ito,82,1.62,8.56,9.66,2.07,1,Stade de Reims,7,235,82.0,0.9,5.4775
Yannick Ferreira Carrasco,85,3.63,8.41,7.79,2.07,1,Belgium,55,282,85.0,0.9,5.475
Enrique Pérez Muñoz,92,7.82,3.83,4.27,5.98,1,Real Valladolid,11,42,92.0,1.0,5.475
Ayman Kari,35,8.13,2.71,4.0,7.05,1,Lorient,7,235,35.0,0.4,5.4725
Adrián López Álvarez,22,6.66,3.35,9.79,2.07,1,Osasuna,11,90,22.0,0.2,5.467499999999999
Youri Tielemans,154,6.39,3.58,7.66,4.22,3,Belgium,55,282,51.3,1.7,5.4624999999999995
Boulaye Dia,91,7.11,4.17,2.75,7.81,1,Senegal,43,106,91.0,1.0,5.46
Mauro Wilney Arambarri Rosa,183,7.08,5.18,7.5,2.07,2,Getafe,11,4,91.5,2.0,5.4575
Gonçalo Manuel Ganchinho Guedes,90,4.31,7.74,1.3,8.46,1,Valencia,11,90,90.0,1.0,5.452500000000001
Gerrit Holtmann,64,7.02,7.94,4.78,2.07,1,Darmstadt 98,9,281,64.0,0.7,5.452500000000001
Pathé Ismaël Ciss,150,6.52,4.22,8.96,2.07,3,Senegal,43,106,50.0,1.7,5.4425
Colin Cameron,180,4.54,2.84,6.04,8.34,2,Wolverhampton Wanderers,2,44,90.0,2.0,5.4399999999999995
Borja Mayoral Moya,90,4.53,3.53,4.58,9.1,1,Levante UD,11,4,90.0,1.0,5.4350000000000005
Nikola Kalinić,141,5.42,7.66,1.41,7.25,2,Fiorentina,12,27,70.5,1.6,5.4350000000000005
Matuzalém Francelino da Silva,208,6.47,4.51,6.47,4.27,6,Hellas Verona,12,27,34.7,2.3,5.43
James Philip Milner,84,3.22,6.55,9.88,2.07,1,Leeds United,2,44,84.0,0.9,5.43
Paul Scholes,88,4.12,5.42,6.75,5.39,1,Manchester United,2,44,88.0,1.0,5.42
Nigel Quashie,182,4.13,2.05,9.84,5.59,2,Portsmouth,2,44,91.0,2.0,5.4025
Ivan Ilić,208,8.86,5.92,1.99,4.84,3,Serbia,55,282,69.3,2.3,5.4025
Richard Hughes,88,3.87,6.21,9.44,2.07,1,Portsmouth,2,44,88.0,1.0,5.3975
Antonio Cassano,189,3.26,3.69,6.39,8.24,5,Sampdoria,12,27,37.8,2.1,5.395
Johnnie Jackson,45,4.84,6.03,2.6,8.09,1,Tottenham Hotspur,2,44,45.0,0.5,5.390000000000001
Rubén Sobrino Pozuelo,93,3.87,7.7,7.92,2.07,1,Cádiz,11,90,93.0,1.0,5.390000000000001
Marko Rog,60,4.82,5.73,8.91,2.07,1,Sevilla,11,4,60.0,0.7,5.3825
Alexander Farnerud,101,3.74,7.64,2.93,7.22,5,Torino,12,27,20.2,1.1,5.382499999999999
João Pedro Neves Filipe,55,3.8,5.94,9.71,2.07,1,Real Valladolid,11,90,55.0,0.6,5.380000000000001
Mickaël Barreto,96,3.54,9.08,6.82,2.07,2,AC Ajaccio,7,235,48.0,1.1,5.3775
Fábio Henrique Tavares,99,7.04,2.92,9.47,2.07,1,Brazil,43,106,99.0,1.1,5.375
Alexei Gennadyevich Smertin,53,3.66,8.8,6.96,2.07,1,Portsmouth,2,44,53.0,0.6,5.3725000000000005
Antonio Floro Flores,102,4.86,5.32,5.97,5.32,2,Sassuolo,12,27,51.0,1.1,5.3675
Vincent Marchetti,177,5.64,7.62,6.14,2.07,2,AC Ajaccio,7,235,88.5,2.0,5.3675
Akram Hassan Afif,183,4.79,6.63,3.17,6.87,2,Qatar,43,106,91.5,2.0,5.365
Serge Gnabry,96,4.2,3.64,4.34,9.28,1,Germany,43,106,96.0,1.1,5.365
Andrej Kramarić,131,6.08,4.74,1.97,8.63,2,Croatia,43,106,65.5,1.5,5.355
Ali Gholizadeh,201,3.43,4.21,6.46,7.31,3,Iran,43,106,67.0,2.2,5.3525
Eden Hazard,119,4.73,6.92,4.59,5.1,2,Belgium,43,106,59.5,1.3,5.335000000000001
Youssouf Ndayishimiye,89,6.8,3.69,8.78,2.07,1,OGC Nice,7,235,89.0,1.0,5.335
Andrei Girotto,94,8.13,5.01,6.13,2.07,1,Nantes,7,108,94.0,1.0,5.335
André-Frank Zambo Anguissa,265,9.47,6.32,3.47,2.07,3,Cameroon,43,106,88.3,2.9,5.3325000000000005
Christian Pulisic,91,3.21,8.27,3.52,6.33,1,United States,43,106,91.0,1.0,5.3325
Jerome Ngom Mbekeli,13,0.93,9.88,0.52,9.98,1,Cameroon,43,106,13.0,0.1,5.327500000000001
Jordan Stewart,91,3.28,7.94,8.02,2.07,1,Leicester City,2,44,91.0,1.0,5.327500000000001
Noah Mbamba,19,1.62,7.13,7.12,5.43,2,Bayer Leverkusen,9,281,9.5,0.2,5.325
Marvin Pieringer,12,8.43,0.85,9.92,2.07,1,FC Heidenheim,9,281,12.0,0.1,5.3175
Kevin Paredes,17,8.43,0.85,9.91,2.07,1,Wolfsburg,9,281,17.0,0.2,5.3149999999999995
Yannis Salibur,8,2.81,7.94,0.52,9.97,1,Mallorca,11,42,8.0,0.1,5.3100000000000005
Mathis Rayan Cherki,87,2.28,9.81,2.99,6.16,2,Lyon,7,235,43.5,1.0,5.3100000000000005
Filippo Costa,81,0.69,7.26,6.45,6.82,5,Chievo,12,27,16.2,0.9,5.305
Eduardo Camavinga,177,7.33,3.24,2.23,8.4,4,France,55,282,44.2,2.0,5.300000000000001
