player,season_id,minutes_played,cluster,Cluster Label
Jean-Eric Maxim Choupo-Moting,106,264,2,Complete Forward
Kai Havertz,282,397,2,Complete Forward
Alexander Isak,42,146,0,Poacher
Nicolas Anelka,44,177,0,Poacher
Kevin Gameiro,4,105,0,Poacher
Federico Dionisi,27,2117,3,Advanced Forward
Karl Brillant Toko Ekambi,235,92,3,Advanced Forward
Wout Weghorst,281,172,0,Poacher
Daizen Maeda,106,180,0,Poacher
Mauro Matías Zárate,27,287,0,Poacher
Alan Smith,44,180,0,Poacher
Massimo Maccarone,27,2762,0,Poacher
Amine Adli,281,211,0,Poacher
Ivan Toney,282,46,0,Poacher
Ollie Watkins,282,62,0,Poacher
Andrea Belotti,27,2638,0,Poacher
Maximiliano Gómez González,90,178,0,Poacher
Anssumane Fati,90,123,0,Poacher
Álvaro Negredo Sánchez,90,89,0,Poacher
Yakubu Aiyegbeni,44,150,0,Poacher
Antoine Griezmann,42,1262,3,Advanced Forward
Robert Lewandowski,106,380,2,Complete Forward
Radja Nainggolan,27,216,1,Target Man
Alessio Cerci,27,501,3,Advanced Forward
Jonathan Bamba,235,84,0,Poacher
Sylvain Wiltord,44,478,3,Advanced Forward
Youssef En-Nesyri,106,537,0,Poacher
M''Baye Babacar Niang,27,984,3,Advanced Forward
Takuma Asano,106,181,0,Poacher
Cyril Théréau,27,2725,1,Target Man
José Antonio Reyes Calderón,44,661,3,Advanced Forward
Saleh Khalid Al Shehri,106,222,0,Poacher
José María Callejón Bueno,27,280,3,Advanced Forward
Dennis Bergkamp,44,1665,3,Advanced Forward
Kevin Lasagna,27,1113,0,Poacher
Michy Batshuayi Tunga,106,151,0,Poacher
Vincent Paté Aboubakar,106,111,0,Poacher
Memphis Depay,282,463,3,Advanced Forward
Simone Zaza,27,685,0,Poacher
Nwankwo Christian Kanu,44,402,2,Complete Forward
Gonçalo Matias Ramos,106,163,0,Poacher
Cristiano Ronaldo dos Santos Aveiro,282,490,2,Complete Forward
Mattia Destro,27,2181,0,Poacher
