player,minutes_played,finishing,early_shots,linkup_play,carrying,work_rate,back_to_goal,headed_duels,matches_played,avg_minutes_per_match,competition_id,season_id
Malcolm Christie,91,3.88,1.76,1.06,3.82,4.71,3.53,4.65,1,91.0,2,44
Carlton Cole Okirie,91,3.88,1.76,5.65,7.53,6.35,5.65,4.65,1,91.0,2,44
Craig Bellamy,172,3.88,6.59,3.29,5.18,4.0,1.18,4.65,2,86.0,2,44
Danny Tiatto,23,3.88,1.76,1.53,7.94,8.24,4.71,4.65,1,23.0,2,44
Clinton Morrison,75,3.88,1.76,0.71,8.94,5.29,1.29,4.65,2,37.5,2,44
Kolo Habib Touré,15,3.88,4.82,6.88,5.82,1.18,2.12,4.65,1,15.0,2,44
Kevin Phillips,176,3.88,4.82,8.35,5.29,9.76,4.82,4.65,2,88.0,2,44
Antoine Sibierski,66,3.88,6.71,2.59,3.18,8.35,5.47,4.65,1,66.0,2,44
Nick Chadwick,92,3.88,4.82,4.0,1.35,3.18,3.41,4.65,1,92.0,2,44
Jamal Julian Campbell-Ryce,15,3.88,1.76,0.35,9.18,2.59,0.47,4.65,1,15.0,2,44
Ruud van Nistelrooy,182,3.88,6.24,8.47,8.12,4.47,1.88,9.88,2,91.0,2,44
Joseph-Desiré Job,62,3.88,1.76,2.94,9.06,3.41,5.76,4.65,1,62.0,2,44
Jonatan Lillebror Johansson,75,3.88,7.06,2.59,9.41,7.53,6.82,4.65,1,75.0,2,44
Jason Roberts,20,3.88,8.59,2.59,1.35,2.0,9.65,4.65,1,20.0,2,44
Jason Joseph Euell,46,3.88,7.06,9.41,1.35,5.41,6.12,4.65,1,46.0,2,44
Jerrel Hasselbaink,33,3.88,1.76,4.82,0.71,3.53,8.47,4.65,2,16.5,2,44
Jesper Grønkjær,24,3.88,1.76,8.59,8.41,0.94,5.47,4.65,1,24.0,2,44
Juan Pablo Ángel Arango,181,3.88,6.12,2.12,2.94,2.94,6.35,9.76,2,90.5,2,44
Szilárd Németh,84,3.88,5.94,6.18,6.35,9.88,6.47,4.65,1,84.0,2,44
Stewart Downing,3,3.88,1.76,6.88,7.94,0.76,0.47,4.65,1,3.0,2,44
Adrian Mutu,138,3.88,3.53,6.47,7.41,6.0,6.59,4.65,2,69.0,2,44
James Philip Milner,45,3.88,1.76,2.29,8.41,7.18,6.24,4.65,1,45.0,2,44
James Beattie,92,3.88,1.76,3.65,7.18,4.59,4.59,4.65,1,92.0,2,44
Gaël Clichy,27,3.88,1.76,8.12,7.29,1.76,5.94,4.65,2,13.5,2,44
Gilberto Aparecido da Silva,15,3.88,4.82,2.0,0.59,8.12,7.35,4.65,1,15.0,2,44
Dwight Yorke,110,3.88,6.41,6.59,2.0,4.24,8.35,4.65,2,55.0,2,44
James Scowcroft,91,3.88,4.82,5.06,4.35,4.82,9.53,4.65,1,91.0,2,44
