defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Niklas Süle,Germany,186.97,6.9,6.9,6.9,6.9,7.1,2,2.1,0.03,0.03,0.03,0.03,0.05,6.94,43,106
Maxence Lacroix,Wolfsburg,181.98,6.9,6.9,6.9,6.8,7.2,2,2.0,0.02,0.02,0.02,0.03,0.04,6.94,9,281
Lilian Brassier,Stade Brestois,179.97,6.7,6.7,6.7,6.7,7.9,2,2.0,0.02,0.02,0.02,0.03,0.03,6.94,7,235
Igor Zubeldia Elorza,Real Sociedad,175.97,6.9,6.9,6.9,6.9,7.0,2,2.0,0.02,0.02,0.02,0.03,0.04,6.92,11,90
Duje Ćaleta-Car,Marseille,179.98,6.9,6.9,6.9,6.8,7.0,2,2.0,0.03,0.03,0.03,0.03,0.05,6.9,7,108
Andy Todd,Blackburn Rovers,173.98,6.9,6.9,6.9,6.6,7.2,2,1.9,0.03,0.03,0.03,0.03,0.06,6.9,2,44
Julien Laporte,Lorient,178.95,6.9,6.9,6.9,6.8,7.0,2,2.0,0.03,0.03,0.03,0.03,0.05,6.9,7,108
Jean-Clair Todibo,OGC Nice,176.98,6.8,6.8,6.8,7.1,7.0,2,2.0,0.03,0.03,0.03,0.03,0.05,6.9,7,108
Djené Dakonam Ortega,Getafe,182.95,6.9,6.9,6.9,6.9,6.9,2,2.0,0.02,0.02,0.02,0.03,0.04,6.9,11,90
Sepp van den Berg,FSV Mainz 05,176.97,6.8,6.8,6.8,6.8,7.2,2,2.0,0.02,0.02,0.02,0.03,0.04,6.88,9,281
Ronny Johnsen,Aston Villa,179.98,7.0,7.0,7.0,6.7,6.7,2,2.0,0.03,0.03,0.03,0.03,0.06,6.88,2,44
Davide Brivio,Atalanta,186.97,6.9,6.9,6.9,6.7,7.0,2,2.1,0.03,0.03,0.03,0.03,0.05,6.88,12,27
Marin Pongracic,Croatia,189.97,6.9,6.9,6.9,7.5,6.2,2,2.1,0.03,0.03,0.03,0.04,0.06,6.88,55,282
Arthur Theate,Rennes,181.97,6.7,6.7,6.7,6.7,7.6,2,2.0,0.02,0.02,0.02,0.03,0.03,6.88,7,235
Germán Sánchez Barahona,Granada,170.98,6.8,6.8,6.8,6.8,7.1,2,1.9,0.02,0.02,0.02,0.03,0.04,6.86,11,90
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,181.98,6.9,6.9,6.9,6.9,6.7,2,2.0,0.03,0.03,0.03,0.03,0.05,6.86,43,106
Igor Bišćan,Liverpool,179.97,7.0,7.0,7.0,6.7,6.5,2,2.0,0.03,0.03,0.03,0.03,0.06,6.84,2,44
José Miguel da Rocha Fonte,Lille,176.97,6.8,6.8,6.8,6.8,7.0,2,2.0,0.03,0.03,0.03,0.03,0.05,6.84,7,108
Junior Castello Lukeba,Lyon,177.98,6.6,6.6,6.6,7.7,6.7,2,2.0,0.02,0.02,0.02,0.03,0.03,6.84,7,235
Paul Butler,Wolverhampton Wanderers,175.98,7.0,7.0,7.0,6.6,6.5,2,2.0,0.03,0.03,0.03,0.03,0.06,6.82,2,44
Rayan Ny Aina Arnaldo Raveloson,Auxerre,184.97,6.7,6.7,6.7,6.7,7.3,2,2.1,0.02,0.02,0.02,0.03,0.03,6.82,7,235
