defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Cameron Carter-Vickers,United States,97.98,5.8,5.8,5.8,5.8,5.7,1,1.1,0.03,0.03,0.03,0.03,0.05,5.78,43,106
Moriba Kourouma Kourouma,Barcelona,68.93,5.8,5.8,5.8,5.8,5.7,2,0.8,0.02,0.02,0.02,0.03,0.04,5.78,11,90
Kyung-Won Kwon,South Korea,102.9,5.9,5.9,5.9,5.9,5.3,2,1.1,0.03,0.03,0.03,0.03,0.05,5.78,43,106
Harold Moukoudi,Saint-Étienne,81.9,5.8,5.8,5.8,5.8,5.7,2,0.9,0.03,0.03,0.03,0.03,0.05,5.78,7,108
Maximiliano Caufriez,Clermont Foot,86.0,5.6,5.6,5.6,6.2,5.9,1,1.0,0.02,0.02,0.02,0.03,0.03,5.78,7,235
Mattia Viti,OGC Nice,93.98,5.7,5.7,5.7,5.7,6.1,1,1.0,0.02,0.02,0.02,0.03,0.03,5.78,7,235
Declan Rice,England,98.98,5.8,5.8,5.8,5.8,5.7,1,1.1,0.03,0.03,0.03,0.03,0.05,5.78,43,106
Chancel Mbemba Mangulu,Marseille,93.98,5.7,5.7,5.7,5.7,6.1,1,1.0,0.02,0.02,0.02,0.03,0.03,5.78,7,235
Nader Ghandri,Tunisia,97.98,5.8,5.8,5.8,5.8,5.6,1,1.1,0.03,0.03,0.03,0.03,0.05,5.76,43,106
Alain Goma,Fulham,89.98,5.8,5.8,5.8,5.7,5.7,1,1.0,0.03,0.03,0.03,0.03,0.06,5.76,2,44
Victor Nelsson,Denmark,96.97,5.8,5.8,5.8,5.8,5.6,1,1.1,0.03,0.03,0.03,0.03,0.05,5.76,43,106
William Gallas,Chelsea,92.98,5.8,5.8,5.8,5.7,5.7,1,1.0,0.03,0.03,0.03,0.03,0.06,5.76,2,44
Ian Pearce,Fulham,85.93,5.7,5.7,5.7,5.6,6.1,1,1.0,0.03,0.03,0.03,0.03,0.06,5.76,2,44
Adam Masina,Bologna,115.87,5.9,5.9,5.9,5.3,5.8,2,1.3,0.03,0.03,0.03,0.03,0.05,5.76,12,27
Ismael Doukoure,Strasbourg,84.0,5.6,5.6,5.6,6.3,5.7,1,0.9,0.02,0.02,0.02,0.03,0.03,5.76,7,235
Lucas Perrin,Strasbourg,85.0,5.6,5.6,5.6,6.2,5.7,1,0.9,0.02,0.02,0.02,0.03,0.03,5.74,7,235
Jackson Gabriel Porozo Vernaza,Ecuador,93.98,5.8,5.8,5.8,5.8,5.5,1,1.0,0.03,0.03,0.03,0.03,0.05,5.74,43,106
Antonio Latorre Grueso,Valencia,60.0,5.7,5.7,5.7,5.7,5.9,1,0.7,0.02,0.02,0.02,0.03,0.04,5.74,11,90
Sead Kolašinac,Marseille,90.97,5.7,5.7,5.7,5.7,5.9,1,1.0,0.02,0.02,0.02,0.03,0.03,5.74,7,235
Gleison Bremer Silva Nascimento,Brazil,96.98,5.8,5.8,5.8,5.8,5.5,1,1.1,0.03,0.03,0.03,0.03,0.05,5.74,43,106
António João Pereira Albuquerque Tavares Silva,Portugal,96.98,5.8,5.8,5.8,5.8,5.5,1,1.1,0.03,0.03,0.03,0.03,0.05,5.74,43,106
Matt Heath,Leicester City,90.98,5.8,5.8,5.8,5.7,5.5,1,1.0,0.03,0.03,0.03,0.03,0.06,5.72,2,44
Steve Howey,Leicester City,89.0,5.8,5.8,5.8,5.7,5.5,1,1.0,0.03,0.03,0.03,0.03,0.06,5.72,2,44
Yan Valery,Angers,89.98,5.6,5.6,5.6,5.6,6.2,1,1.0,0.02,0.02,0.02,0.03,0.03,5.72,7,235
Axel Witsel,Belgium,95.98,5.8,5.8,5.8,5.8,5.4,1,1.1,0.03,0.03,0.03,0.03,0.05,5.72,43,106
Nikos Dabizas,Leicester City,89.0,5.8,5.8,5.8,5.7,5.5,1,1.0,0.03,0.03,0.03,0.03,0.06,5.72,2,44
Jonathan Fortune,Charlton Athletic,90.98,5.8,5.8,5.8,5.7,5.5,1,1.0,0.03,0.03,0.03,0.03,0.06,5.72,2,44
Pablo Paulino Rosario,OGC Nice,91.98,5.7,5.7,5.7,5.7,5.8,1,1.0,0.02,0.02,0.02,0.03,0.03,5.72,7,235
Sofyan Amrabat,Morocco,91.97,5.7,5.7,5.7,5.7,5.8,1,1.0,0.03,0.03,0.03,0.03,0.05,5.72,43,106
Abdoul Bamo Meité,Lorient,92.98,5.7,5.7,5.7,5.7,5.8,1,1.0,0.02,0.02,0.02,0.03,0.03,5.72,7,235
Jérôme Boateng,Lyon,64.0,5.7,5.7,5.7,5.6,5.8,1,0.7,0.03,0.03,0.03,0.03,0.05,5.7,7,108
Florent Ogier,Clermont Foot,83.0,5.6,5.6,5.6,5.6,6.1,1,0.9,0.02,0.02,0.02,0.03,0.03,5.7,7,235
John Terry,Chelsea,86.0,5.7,5.7,5.7,5.6,5.8,1,1.0,0.03,0.03,0.03,0.03,0.06,5.7,2,44
Leander Dendoncker,Belgium,92.98,5.8,5.8,5.8,5.8,5.3,1,1.0,0.03,0.03,0.03,0.03,0.05,5.7,43,106
Yoann Salmier,Troyes,90.98,5.7,5.7,5.7,5.7,5.7,1,1.0,0.02,0.02,0.02,0.03,0.03,5.7,7,235
Andrea Coda,Sampdoria,118.6,5.9,5.9,5.9,5.4,5.4,4,1.3,0.03,0.03,0.03,0.03,0.05,5.7,12,27
Rio Ferdinand,Manchester United,86.0,5.7,5.7,5.7,5.6,5.7,1,1.0,0.03,0.03,0.03,0.03,0.06,5.68,2,44
Falaye Sacko,Montpellier,90.98,5.7,5.7,5.7,5.7,5.6,1,1.0,0.02,0.02,0.02,0.03,0.03,5.68,7,235
Nuno Mendes,Portugal,89.0,5.6,5.6,5.6,6.0,5.6,1,1.0,0.03,0.03,0.03,0.04,0.06,5.68,55,282
Attila Szalai,Hungary,99.83,5.7,5.7,5.7,5.6,5.7,2,1.1,0.03,0.03,0.03,0.04,0.06,5.68,55,282
Joseph Alfred Duncan,Sassuolo,94.98,5.5,5.5,5.5,5.8,6.0,1,1.1,0.03,0.03,0.03,0.03,0.05,5.66,12,27
Lucas Radebe,Leeds United,71.0,5.5,5.5,5.5,6.0,5.8,1,0.8,0.03,0.03,0.03,0.03,0.06,5.66,2,44
Paul Konchesky,Tottenham Hotspur,75.0,5.6,5.6,5.6,6.1,5.4,1,0.8,0.03,0.03,0.03,0.03,0.06,5.66,2,44
Christopher Jullien,Montpellier,90.98,5.7,5.7,5.7,5.7,5.5,1,1.0,0.02,0.02,0.02,0.03,0.03,5.66,7,235
Isaac Cofie,Carpi,94.98,5.5,5.5,5.5,6.0,5.8,1,1.1,0.03,0.03,0.03,0.03,0.05,5.66,12,27
Guillermo Alfonso Maripán Loaysa,AS Monaco,94.95,5.7,5.7,5.7,5.7,5.5,1,1.1,0.02,0.02,0.02,0.03,0.03,5.66,7,235
Andy Melville,Fulham,84.93,5.7,5.7,5.7,5.6,5.5,1,0.9,0.03,0.03,0.03,0.03,0.06,5.64,2,44
Zeno Debast,Belgium,96.98,5.7,5.7,5.7,5.5,5.6,1,1.1,0.03,0.03,0.03,0.04,0.06,5.64,55,282
Oumar Gonzalez,AC Ajaccio,90.98,5.7,5.7,5.7,5.7,5.4,1,1.0,0.02,0.02,0.02,0.03,0.03,5.64,7,235
Endre Botka,Hungary,97.97,5.7,5.7,5.7,5.6,5.5,1,1.1,0.03,0.03,0.03,0.04,0.06,5.64,55,282
Miha Blažič,Angers,88.0,5.6,5.6,5.6,5.6,5.8,1,1.0,0.02,0.02,0.02,0.03,0.03,5.64,7,235
Emmanuel Agbadou,Stade de Reims,88.98,5.6,5.6,5.6,5.6,5.8,1,1.0,0.02,0.02,0.02,0.03,0.03,5.64,7,235
Pedro González López,Barcelona,49.98,5.6,5.6,5.6,5.6,5.7,1,0.6,0.02,0.02,0.02,0.03,0.04,5.62,11,90
Massimo Gobbi,Chievo,93.98,5.5,5.5,5.5,5.8,5.8,1,1.0,0.03,0.03,0.03,0.03,0.05,5.62,12,27
José Diogo Dalot Teixeira,Portugal,91.98,5.6,5.6,5.6,5.5,5.8,1,1.0,0.03,0.03,0.03,0.04,0.06,5.62,55,282
Timothy Castagne,Belgium,97.98,5.7,5.7,5.7,5.6,5.4,1,1.1,0.03,0.03,0.03,0.04,0.06,5.62,55,282
Clément Vidal,AC Ajaccio,88.0,5.6,5.6,5.6,5.6,5.7,1,1.0,0.02,0.02,0.02,0.03,0.03,5.62,7,235
Miguel Baeza Pérez,Celta Vigo,47.98,5.6,5.6,5.6,5.6,5.6,1,0.5,0.02,0.02,0.02,0.03,0.04,5.6,11,90
Karim Rekik,Sevilla,48.98,5.6,5.6,5.6,5.6,5.6,1,0.5,0.02,0.02,0.02,0.03,0.04,5.6,11,90
Julian Jeanvier,Auxerre,86.0,5.6,5.6,5.6,5.6,5.5,1,1.0,0.02,0.02,0.02,0.03,0.03,5.58,7,235
Thomas Poppler Isherwood,Darmstadt 98,53.0,5.6,5.6,5.6,5.6,5.5,1,0.6,0.02,0.02,0.02,0.03,0.04,5.58,9,281
Oliver Kragl,Frosinone,94.97,5.5,5.5,5.5,5.9,5.5,1,1.1,0.03,0.03,0.03,0.03,0.05,5.58,12,27
Alidu Seidu,Clermont Foot,86.0,5.6,5.6,5.6,5.6,5.4,1,1.0,0.02,0.02,0.02,0.03,0.03,5.56,7,235
Gernot Trauner,Austria,94.93,5.6,5.6,5.6,5.5,5.5,2,1.1,0.03,0.03,0.03,0.04,0.06,5.56,55,282
Giovanni Di Lorenzo,Italy,94.98,5.6,5.6,5.6,5.5,5.4,1,1.1,0.03,0.03,0.03,0.04,0.06,5.54,55,282
Gabriel Iván Mercado,Sevilla,37.9,5.6,5.6,5.6,5.5,5.4,1,0.4,0.02,0.02,0.02,0.03,0.04,5.54,11,4
Mikel San José Domínguez,Athletic Club,36.95,5.6,5.6,5.6,5.5,5.4,1,0.4,0.02,0.02,0.02,0.03,0.04,5.54,11,4
Gianluca Mancini,Italy,90.98,5.6,5.6,5.6,5.5,5.3,1,1.0,0.03,0.03,0.03,0.04,0.06,5.52,55,282
Mario Suárez Mata,Fiorentina,91.98,5.5,5.5,5.5,5.7,5.4,1,1.0,0.03,0.03,0.03,0.03,0.05,5.52,12,27
Eliaquim Mangala,Saint-Étienne,53.0,5.5,5.5,5.5,5.5,5.5,1,0.6,0.03,0.03,0.03,0.03,0.05,5.5,7,108
Martín Montoya Torralbo,Inter Milan,94.98,5.5,5.5,5.5,5.9,5.1,1,1.1,0.03,0.03,0.03,0.03,0.05,5.5,12,27
Jean-Armel Kana-Biyik,Metz,51.0,5.5,5.5,5.5,5.5,5.5,1,0.6,0.03,0.03,0.03,0.03,0.05,5.5,7,108
Marco Parolo,Lazio,94.98,5.5,5.5,5.5,5.6,5.4,1,1.1,0.03,0.03,0.03,0.03,0.05,5.5,12,27
Matheus Soares Thuler,Montpellier,51.0,5.5,5.5,5.5,5.5,5.5,1,0.6,0.03,0.03,0.03,0.03,0.05,5.5,7,108
Ibrahim Amadou,Sevilla,34.95,5.5,5.5,5.5,5.5,5.4,1,0.4,0.02,0.02,0.02,0.03,0.04,5.48,11,4
Fabrizio Cacciatore,Chievo,92.98,5.5,5.5,5.5,5.9,5.0,1,1.0,0.03,0.03,0.03,0.03,0.05,5.48,12,27
Bartosz Salamon,Poland,85.0,5.5,5.5,5.5,5.4,5.4,1,0.9,0.03,0.03,0.03,0.04,0.06,5.46,55,282
Leny Yoro,Lille,78.98,5.5,5.5,5.5,5.5,5.3,1,0.9,0.02,0.02,0.02,0.03,0.03,5.46,7,235
Cristian Molinaro,Torino,93.98,5.5,5.5,5.5,5.1,5.6,1,1.0,0.03,0.03,0.03,0.03,0.05,5.44,12,27
Otar Kakabadze,Georgia,84.0,5.5,5.5,5.5,5.4,5.3,1,0.9,0.03,0.03,0.03,0.04,0.06,5.44,55,282
José Ángel Pozo la Rosa,Rayo Vallecano,27.97,5.4,5.4,5.4,5.6,5.4,1,0.3,0.02,0.02,0.02,0.03,0.04,5.44,11,4
Luca Martinelli,Empoli,92.98,5.5,5.5,5.5,5.5,5.1,1,1.0,0.03,0.03,0.03,0.03,0.05,5.42,12,27
Alexsandro Victor de Souza Ribeiro,Lille,69.0,5.4,5.4,5.4,5.4,5.5,1,0.8,0.02,0.02,0.02,0.03,0.03,5.42,7,235
Federico Peluso,Sassuolo,92.98,5.5,5.5,5.5,5.1,5.4,1,1.0,0.03,0.03,0.03,0.03,0.05,5.4,12,27
Timothée Kolodziejczak,Saint-Étienne,44.0,5.4,5.4,5.4,5.4,5.4,1,0.5,0.03,0.03,0.03,0.03,0.05,5.4,7,108
Ousmane Dembélé,Barcelona,20.98,5.4,5.4,5.4,5.4,5.4,1,0.2,0.02,0.02,0.02,0.03,0.04,5.4,11,90
Hrvoje Smolčić,Eintracht Frankfurt,30.88,5.4,5.4,5.4,5.4,5.4,1,0.3,0.02,0.02,0.02,0.03,0.04,5.4,9,281
Filip Stojilković,Darmstadt 98,34.97,5.4,5.4,5.4,5.4,5.4,1,0.4,0.02,0.02,0.02,0.03,0.04,5.4,9,281
Ander Barrenetxea Muguruza,Real Sociedad,28.0,5.4,5.4,5.4,5.4,5.4,1,0.3,0.02,0.02,0.02,0.03,0.04,5.4,11,90
Patrice Evra,Juventus,91.98,5.5,5.5,5.5,5.1,5.3,1,1.0,0.03,0.03,0.03,0.03,0.05,5.38,12,27
Matías Vecino Falero,Fiorentina,92.98,5.5,5.5,5.5,5.1,5.3,1,1.0,0.03,0.03,0.03,0.03,0.05,5.38,12,27
Juan Bernat Velasco,Paris Saint-Germain,67.0,5.4,5.4,5.4,5.4,5.3,2,0.7,0.02,0.02,0.02,0.03,0.03,5.38,7,235
Germán Alejandro Pezzella,Argentina,62.48,5.4,5.4,5.4,5.4,5.3,3,0.7,0.03,0.03,0.03,0.03,0.05,5.38,43,106
Jonas Hofmann,Bayer Leverkusen,30.98,5.4,5.4,5.4,5.4,5.3,1,0.3,0.02,0.02,0.02,0.03,0.04,5.38,9,281
Josuha Guilavogui,FSV Mainz 05,31.98,5.4,5.4,5.4,5.4,5.3,1,0.4,0.02,0.02,0.02,0.03,0.04,5.38,9,281
Antonios Papadopoulos,Borussia Dortmund,29.98,5.4,5.4,5.4,5.4,5.3,1,0.3,0.02,0.02,0.02,0.03,0.04,5.38,9,281
Djamel Eddine Mesbah,Sampdoria,93.98,5.5,5.5,5.5,5.1,5.2,1,1.0,0.03,0.03,0.03,0.03,0.05,5.36,12,27
Matteo Brighi,Bologna,91.98,5.5,5.5,5.5,5.1,5.2,1,1.0,0.03,0.03,0.03,0.03,0.05,5.36,12,27
Badr Banoun,Morocco,63.6,5.4,5.4,5.4,5.4,5.1,3,0.7,0.03,0.03,0.03,0.03,0.05,5.34,43,106
Ezri Konsa Ngoyo,England,78.0,5.4,5.4,5.4,5.3,5.2,1,0.9,0.03,0.03,0.03,0.04,0.06,5.34,55,282
Matteo Darmian,Italy,77.0,5.4,5.4,5.4,5.3,5.1,1,0.9,0.03,0.03,0.03,0.04,0.06,5.32,55,282
Oleksandr Svatok,Ukraine,80.0,5.4,5.4,5.4,5.3,5.1,1,0.9,0.03,0.03,0.03,0.04,0.06,5.32,55,282
Christophe Hérelle,Stade Brestois,61.0,5.3,5.3,5.3,5.3,5.3,1,0.7,0.02,0.02,0.02,0.03,0.03,5.3,7,235
Sikou Niakate,Metz,33.67,5.3,5.3,5.3,5.3,5.3,1,0.4,0.03,0.03,0.03,0.03,0.05,5.3,7,108
Héctor Junior Firpo Adames,Barcelona,20.98,5.3,5.3,5.3,5.3,5.3,1,0.2,0.02,0.02,0.02,0.03,0.04,5.3,11,42
Andrew Davies,Middlesbrough,22.0,5.3,5.3,5.3,5.3,5.3,1,0.2,0.03,0.03,0.03,0.03,0.06,5.3,2,44
Samuel Gigot,Marseille,26.0,5.3,5.3,5.3,5.3,5.3,1,0.3,0.02,0.02,0.02,0.03,0.03,5.3,7,235
Rúben Afonso Borges Semedo,Huesca,23.0,5.3,5.3,5.3,5.3,5.3,1,0.3,0.02,0.02,0.02,0.03,0.04,5.3,11,4
Maxime Le Marchand,Strasbourg,22.83,5.3,5.3,5.3,5.3,5.3,1,0.3,0.03,0.03,0.03,0.03,0.05,5.3,7,108
José Antonio Martínez Gil,Granada,19.92,5.3,5.3,5.3,5.3,5.3,1,0.2,0.02,0.02,0.02,0.03,0.04,5.3,11,42
Mbulelo Mabizela,Tottenham Hotspur,21.98,5.3,5.3,5.3,5.3,5.3,1,0.2,0.03,0.03,0.03,0.03,0.06,5.3,2,44
Sanjin Prcić,Levante UD,22.97,5.3,5.3,5.3,5.3,5.3,1,0.3,0.02,0.02,0.02,0.03,0.04,5.3,11,4
Massadio Haïdara,Lens,29.97,5.3,5.3,5.3,5.3,5.3,1,0.3,0.03,0.03,0.03,0.03,0.05,5.3,7,108
Mario Gaspar Pérez Martínez,Villarreal,4.83,5.3,5.3,5.3,5.3,5.3,1,0.1,0.02,0.02,0.02,0.03,0.04,5.3,11,90
Ousmane Camara,Angers,63.0,5.3,5.3,5.3,5.3,5.3,1,0.7,0.02,0.02,0.02,0.03,0.03,5.3,7,235
Niklas Stark,Werder Bremen,8.82,5.3,5.3,5.3,5.3,5.3,1,0.1,0.02,0.02,0.02,0.03,0.04,5.3,9,281
Sergio Álvarez Díaz,Eibar,14.98,5.3,5.3,5.3,5.3,5.3,1,0.2,0.02,0.02,0.02,0.03,0.04,5.3,11,4
Mamadou Sakho,Montpellier,10.0,5.3,5.3,5.3,5.3,5.3,1,0.1,0.02,0.02,0.02,0.03,0.03,5.3,7,235
Ricard Puig Martí,Barcelona,9.9,5.3,5.3,5.3,5.3,5.3,1,0.1,0.02,0.02,0.02,0.03,0.04,5.3,11,90
Markus Babbel,Blackburn Rovers,7.8,5.3,5.3,5.3,5.3,5.3,1,0.1,0.03,0.03,0.03,0.03,0.06,5.3,2,44
Renato Júnior Luz Sanches,Paris Saint-Germain,40.97,5.3,5.3,5.3,5.3,5.3,1,0.5,0.02,0.02,0.02,0.03,0.03,5.3,7,235
Modibo Sagnan,Real Sociedad,16.8,5.3,5.3,5.3,5.3,5.3,2,0.2,0.02,0.02,0.02,0.03,0.04,5.3,11,90
Jorge Andújar Moreno,Levante UD,19.98,5.3,5.3,5.3,5.3,5.3,1,0.2,0.02,0.02,0.02,0.03,0.04,5.3,11,4
Ugo Ehiogu,Middlesbrough,45.0,5.3,5.3,5.3,5.3,5.3,1,0.5,0.03,0.03,0.03,0.03,0.06,5.3,2,44
Logan Costa,Toulouse,44.0,5.3,5.3,5.3,5.3,5.3,1,0.5,0.02,0.02,0.02,0.03,0.03,5.3,7,235
Noah Loosli,Bochum,19.0,5.3,5.3,5.3,5.3,5.3,1,0.2,0.02,0.02,0.02,0.03,0.04,5.3,9,281
Pedro Miguel Almeida Lopes Pereira,Sampdoria,77.0,5.3,5.3,5.3,5.5,5.0,1,0.9,0.03,0.03,0.03,0.03,0.05,5.28,12,27
Ştefan Daniel Radu,Lazio,80.0,5.3,5.3,5.3,5.0,5.2,1,0.9,0.03,0.03,0.03,0.03,0.05,5.22,12,27
Eray Ervin Cömert,Switzerland,48.98,5.2,5.2,5.2,5.2,5.1,1,0.5,0.03,0.03,0.03,0.03,0.05,5.18,43,106
Yuto Nagatomo,Japan,45.0,5.1,5.1,5.1,5.1,5.4,1,0.5,0.03,0.03,0.03,0.03,0.05,5.16,43,106
Abdullah Mohammed Madu,Saudi Arabia,50.93,5.2,5.2,5.2,5.2,5.0,1,0.6,0.03,0.03,0.03,0.03,0.05,5.16,43,106
Roozbeh Cheshmi,Iran,48.0,5.2,5.2,5.2,5.2,5.0,1,0.5,0.03,0.03,0.03,0.03,0.05,5.16,43,106
Mohammad Hossein Kanani Zadegan,Iran,49.98,5.2,5.2,5.2,5.2,5.0,1,0.6,0.03,0.03,0.03,0.03,0.05,5.16,43,106
Bogdan Racovițan,Romania,54.98,5.1,5.1,5.1,5.0,5.2,2,0.6,0.03,0.03,0.03,0.04,0.06,5.1,55,282
Carlos Manuel Martínez Castro,Costa Rica,42.0,5.1,5.1,5.1,5.1,5.0,1,0.5,0.03,0.03,0.03,0.03,0.05,5.08,43,106
Nemanja Gudelj,Serbia,39.97,5.1,5.1,5.1,5.1,5.0,1,0.4,0.03,0.03,0.03,0.03,0.05,5.08,43,106
Stefan Mitrović,Serbia,39.92,5.1,5.1,5.1,5.1,4.9,1,0.4,0.03,0.03,0.03,0.03,0.05,5.06,43,106
Mathias Jensen,Denmark,30.95,5.0,5.0,5.0,5.0,5.2,1,0.3,0.03,0.03,0.03,0.03,0.05,5.04,43,106
Ádám Lang,Hungary,45.0,5.0,5.0,5.0,4.9,4.8,1,0.5,0.03,0.03,0.03,0.04,0.06,4.94,55,282
Ryan Porteous,Scotland,40.0,4.9,4.9,4.9,4.9,5.0,1,0.4,0.03,0.03,0.03,0.04,0.06,4.92,55,282
Tarek Salman Salman,Qatar,11.98,4.9,4.9,4.9,4.9,4.9,1,0.1,0.03,0.03,0.03,0.03,0.05,4.9,43,106
Yu-Min Cho,South Korea,0.25,4.9,4.9,4.9,4.9,4.9,1,0.0,0.03,0.03,0.03,0.03,0.05,4.9,43,106
Srđan Babić,Serbia,16.97,4.9,4.9,4.9,4.9,4.9,1,0.2,0.03,0.03,0.03,0.03,0.05,4.9,43,106
Bailey Wright,Australia,17.82,4.9,4.9,4.9,4.9,4.9,1,0.2,0.03,0.03,0.03,0.03,0.05,4.9,43,106
Luke Shaw,England,41.98,4.9,4.9,4.9,4.9,4.9,1,0.5,0.03,0.03,0.03,0.04,0.06,4.9,55,282
Mohammed Waed Abdulwahhab Al Bayati,Qatar,12.95,4.9,4.9,4.9,4.9,4.9,1,0.1,0.03,0.03,0.03,0.03,0.05,4.9,43,106
Norbert Gyömbér,Slovakia,30.97,4.8,4.8,4.8,4.8,4.9,1,0.3,0.03,0.03,0.03,0.04,0.06,4.82,55,282
Bartosz Bereszyński,Poland,1.97,4.8,4.8,4.8,4.8,4.8,1,0.0,0.03,0.03,0.03,0.04,0.06,4.8,55,282
Leopold Querfeld,Austria,31.92,4.8,4.8,4.8,4.8,4.8,1,0.4,0.03,0.03,0.03,0.04,0.06,4.8,55,282
Okay Yokuşlu,Turkey,15.97,4.8,4.8,4.8,4.8,4.8,1,0.2,0.03,0.03,0.03,0.04,0.06,4.8,55,282
David Brekalo,Slovenia,3.5,4.8,4.8,4.8,4.8,4.8,1,0.0,0.03,0.03,0.03,0.04,0.06,4.8,55,282
Adam Obert,Slovakia,1.88,4.8,4.8,4.8,4.8,4.8,1,0.0,0.03,0.03,0.03,0.04,0.06,4.8,55,282
Stephan El Shaarawy,AS Roma,39.98,4.7,4.7,4.7,4.6,4.6,1,0.4,0.03,0.03,0.03,0.03,0.05,4.66,12,27
Ali Adnan Kadhim Al Tameemi,Udinese,35.98,4.6,4.6,4.6,4.6,4.7,1,0.4,0.03,0.03,0.03,0.03,0.05,4.62,12,27
Fabio Daprelà,Carpi,32.97,4.6,4.6,4.6,4.5,4.5,1,0.4,0.03,0.03,0.03,0.03,0.05,4.56,12,27
Jules Olivier Ntcham,Genoa,20.93,4.5,4.5,4.5,4.5,4.5,1,0.2,0.03,0.03,0.03,0.03,0.05,4.5,12,27
Matteo Mancosu,Bologna,16.97,4.5,4.5,4.5,4.5,4.5,1,0.2,0.03,0.03,0.03,0.03,0.05,4.5,12,27
Marco Antônio De Mattos Filho,Udinese,17.98,4.5,4.5,4.5,4.5,4.5,1,0.2,0.03,0.03,0.03,0.03,0.05,4.5,12,27
Saphir Sliti Taïder,Bologna,22.92,4.5,4.5,4.5,4.5,4.5,1,0.3,0.03,0.03,0.03,0.03,0.05,4.5,12,27
Gianpaolo Bellini,Atalanta,26.95,4.5,4.5,4.5,4.5,4.5,1,0.3,0.03,0.03,0.03,0.03,0.05,4.5,12,27
Antonio Di Natale,Udinese,21.85,4.5,4.5,4.5,4.5,4.5,1,0.2,0.03,0.03,0.03,0.03,0.05,4.5,12,27
Fabio Della Giovanna,Inter Milan,9.9,4.5,4.5,4.5,4.5,4.5,1,0.1,0.03,0.03,0.03,0.03,0.05,4.5,12,27
Giulio Migliaccio,Atalanta,12.0,4.5,4.5,4.5,4.5,4.5,1,0.1,0.03,0.03,0.03,0.03,0.05,4.5,12,27
